,sked+time,sked_RMS,x,y,rad
109,002+7,6.22,20.08239449909608,38.34884636306599,42.52469853842688
110,002+8,6.22,15.513238264233882,39.00285982701924,37.6433316985772
111,002+9,6.22,15.513238264233882,39.00285982701924,37.520588149418344
112,002+10,6.22,7.152364363822775,41.21451661470955,32.352497852536416
113,002+11,6.22,88.040341331995,10.576105362304562,32.79795493297868
114,002+12,6.22,88.040341331995,10.576105362304562,32.79795493297868
115,002+13,6.22,88.040341331995,10.576105362304562,32.79795493297868
116,002+14,6.22,88.040341331995,10.576105362304562,32.79795493297868
117,002+15,6.22,88.040341331995,10.576105362304562,32.79795493297868
118,002+16,6.22,88.040341331995,10.576105362304562,32.79795493297868
119,002+17,6.22,88.040341331995,10.576105362304562,32.79795493297868
120,002+18,6.22,88.040341331995,10.576105362304562,32.79795493297868
121,002+19,6.22,88.040341331995,10.576105362304562,32.79795493297868
122,002+20,6.22,88.040341331995,10.576105362304562,42.13168648767653
123,002+21,6.22,88.040341331995,10.576105362304562,43.2183893065238
124,002+22,6.22,88.040341331995,10.576105362304562,43.2183893065238
125,002+23,6.22,88.040341331995,10.576105362304562,43.2183893065238
126,002+24,6.22,88.040341331995,10.576105362304562,43.2183893065238
127,002+25,6.22,88.040341331995,10.576105362304562,31.395751500001516
128,002+26,6.22,88.040341331995,10.576105362304562,31.395751500001516
129,002+27,6.22,88.040341331995,10.576105362304562,31.395751500001516
130,002+28,6.22,88.040341331995,10.576105362304562,31.395751500001516
131,002+29,6.22,88.040341331995,10.576105362304562,31.395751500001516
132,002+30,6.22,2.863647142595969,40.66807748705422,32.594129561361804
133,002+31,6.22,2.863647142595969,40.66807748705422,32.594129561361804
134,002+32,6.22,2.8636471425959655,40.66807748705421,32.594129561361804
135,002+33,6.22,2.8636471425959655,40.66807748705421,32.594129561361804
136,002+34,6.22,88.040341331995,10.576105362304562,31.395751500001516
137,002+35,6.22,0.07801365069054332,40.634976701889784,29.381699371364693
138,002+36,6.22,0.07801365069054332,40.634976701889784,29.381699371364693
139,002+37,6.22,-1.4728169342117061,40.74853911014835,29.909544107080812
140,002+38,6.22,-3.022041849247575,40.859466809513314,30.514172854568372
141,002+39,6.22,-3.022041849247575,40.859466809513314,30.22673359758436
142,002+40,6.22,-3.022041849247575,40.859466809513314,30.22673359758436
143,002+41,6.22,-3.022041849247575,40.859466809513314,30.22673359758436
144,002+42,6.22,-34.02194361312939,44.677610192709416,26.998889994230467
145,002+43,6.22,-34.09234978895055,45.793702965453406,27.113100307019266
146,002+44,6.22,-38.7425561140879,40.726370058203806,31.901404079674613
147,002+45,6.22,-38.7425561140879,40.726370058203806,31.127010000242173
148,002+46,6.22,-38.7425561140879,40.726370058203806,31.127010000242173
149,002+47,6.22,-38.7425561140879,40.726370058203806,30.721578059212256
150,002+48,6.22,-38.7425561140879,40.726370058203806,30.721578059212256
151,002+49,6.22,-38.7425561140879,40.726370058203806,30.721578059212256
152,002+50,6.22,-38.7425561140879,40.726370058203806,30.721578059212256
153,003+0,7.58,88.040341331995,10.576105362304562,34.42518888946765
154,003+1,7.58,88.040341331995,10.576105362304562,34.42518888946765
155,003+2,7.58,88.040341331995,10.576105362304562,34.42518888946765
156,003+3,7.58,88.040341331995,10.576105362304562,34.42518888946765
157,003+4,7.58,88.040341331995,10.576105362304562,41.03590108343346
158,003+5,7.58,88.040341331995,10.576105362304562,41.03590108343346
159,003+6,7.58,88.040341331995,10.576105362304562,41.03590108343346
160,003+7,7.58,88.040341331995,10.576105362304562,41.03590108343346
161,003+8,7.58,88.040341331995,10.576105362304562,41.03590108343346
